max_depth,n_estimators,subsample,CrossValidations,Measurement,Drug,Concentration_Original,Concetration,Training Spearman,Validation Spearman,Training MAE,Validation MAE
1,30,1,4,GrowthYield,CTX,0.5,1,0.683626069,0.564082626,1.267728868,1.387242504
1,30,1,4,DoublingTime,CTX,1,2,0.475273272,0.288472771,0.124046208,0.127093174
1,30,1,4,GrowthYield,CTX,1,2,0.676380908,0.561028069,1.368687778,1.507368278
1,30,1,4,DoublingTime,CTX,2,3,0.581608226,0.511542115,0.154161388,0.154934473
1,30,1,4,GrowthYield,CTX,2,3,0.661768271,0.588810778,1.528693725,1.615135466
1,30,1,4,DoublingTime,KAN,4,1,0.350324689,0.050425124,0.103881511,0.112817555
1,30,1,4,GrowthYield,KAN,4,1,0.430410644,0.327086789,0.427682817,0.420902689
1,30,1,4,DoublingTime,KAN,8,2,0.494866378,0.455128252,0.151258271,0.163715255
1,30,1,4,GrowthYield,KAN,8,2,0.561565191,0.485257147,0.843762528,0.831555921
1,30,1,4,DoublingTime,KAN,16,3,0.568800404,0.495532283,0.251918322,0.266637097
1,30,1,4,GrowthYield,KAN,16,3,0.545233936,0.46987664,1.367437101,1.314889322
1,30,1,4,DoublingTime,TET,0.3,1,0.509600534,0.305555656,0.155715376,0.164361091
1,30,1,4,GrowthYield,TET,0.3,1,0.454825585,0.217830024,0.373732897,0.39218444
1,30,1,4,DoublingTime,TET,0.6,2,0.43330872,0.223746869,0.225121437,0.244437202
1,30,1,4,GrowthYield,TET,0.6,2,0.489036194,0.322752021,0.858368434,0.891908361
1,30,1,4,DoublingTime,TET,1.25,3,0.585220166,0.441687811,0.338715253,0.36995572
1,30,1,4,GrowthYield,TET,1.25,3,0.487355744,0.320675075,1.452723031,1.467361613
1,30,1,4,DoublingTime,TRIM,0.125,1,0.476855826,0.279996276,0.155392534,0.164030895
1,30,1,4,GrowthYield,TRIM,0.125,1,0.521795316,0.376397619,0.684438264,0.665146563
1,30,1,4,DoublingTime,TRIM,0.25,2,0.548996487,0.372030528,0.152930666,0.167214133
1,30,1,4,GrowthYield,TRIM,0.25,2,0.512587913,0.39108808,0.934419002,0.911570154
1,30,1,4,DoublingTime,TRIM,0.5,3,0.419719107,0.271265402,0.167644482,0.164761001
1,30,1,4,GrowthYield,TRIM,0.5,3,0.548502316,0.401869841,1.301767165,1.246069568
