max_depth,n_estimators,subsample,CrossValidationSet,Measurement,Drug,Concentration_Original,Concentration,Validation Spearman,Training MAE,Validation MAE
1,30,1,2,GrowthYield,CAM,1,2,0.340124572,0.29258143,0.319584732
1,30,1,2,DoublingTime,CAM,2,3,0.255489064,0.199142092,0.214946816
1,30,1,2,GrowthYield,CAM,2,3,0.490684328,0.534345396,0.584653213
1,30,1,2,DoublingTime,CIP,0.002,1,0.190020604,0.116049022,0.126894969
1,30,1,2,GrowthYield,CIP,0.002,1,0.094842229,0.223764846,0.235968288
1,30,1,2,DoublingTime,CIP,0.004,2,0.283918455,0.161358484,0.165674725
1,30,1,2,GrowthYield,CIP,0.004,2,0.261236715,0.510289003,0.512013712
1,30,1,2,DoublingTime,CIP,0.008,3,0.078127297,0.116931819,0.120525597
1,30,1,2,GrowthYield,CIP,0.008,3,0.580712211,0.826941731,0.820421136
1,30,1,2,DoublingTime,CTX,0.5,1,0.263264747,0.140037623,0.133155641
1,30,1,2,GrowthYield,CTX,0.5,1,0.724364504,1.23183372,1.228241482
1,30,1,2,DoublingTime,CTX,1,2,0.294332709,0.1263892,0.119164663
1,30,1,2,GrowthYield,CTX,1,2,0.71667799,1.339433192,1.306802562
1,30,1,2,DoublingTime,CTX,2,3,0.512068358,0.154766111,0.148889499
1,30,1,2,GrowthYield,CTX,2,3,0.705152256,1.471042478,1.412041295
1,30,1,2,DoublingTime,KAN,4,1,0.060533972,0.10681447,0.108678286
1,30,1,2,GrowthYield,KAN,4,1,0.385685989,0.416226998,0.425123246
1,30,1,2,DoublingTime,KAN,8,2,0.419368008,0.153158276,0.166086965
1,30,1,2,GrowthYield,KAN,8,2,0.600113166,0.799833259,0.8282912
1,30,1,2,DoublingTime,KAN,16,3,0.554069263,0.248313107,0.271048375
1,30,1,2,GrowthYield,KAN,16,3,0.601877633,1.253125827,1.285080167
1,30,1,2,DoublingTime,TET,0.3,1,0.396234597,0.155186745,0.165309521
1,30,1,2,GrowthYield,TET,0.3,1,0.506004939,0.337928439,0.358253779
1,30,1,2,DoublingTime,TET,0.6,2,0.363294359,0.225132783,0.243777259
1,30,1,2,GrowthYield,TET,0.6,2,0.568941577,0.717812351,0.791522273
1,30,1,2,DoublingTime,TET,1.25,3,0.645776289,0.297276633,0.336126273
1,30,1,2,GrowthYield,TET,1.25,3,0.595484498,1.121430527,1.190664098
1,30,1,2,DoublingTime,TRIM,0.125,1,0.313013382,0.156758617,0.163881833
1,30,1,2,GrowthYield,TRIM,0.125,1,0.51011097,0.641375881,0.671158621
1,30,1,2,DoublingTime,TRIM,0.25,2,0.492493524,0.157455594,0.154120247
1,30,1,2,GrowthYield,TRIM,0.25,2,0.469731811,0.862319156,0.88205497
1,30,1,2,DoublingTime,TRIM,0.5,3,0.24281966,0.165002367,0.171256123
1,30,1,2,GrowthYield,TRIM,0.5,3,0.583290173,1.146278584,1.180772888
1,30,1,3,DoublingTime,NoAntimicrbial,NA,2,0.288172269,0.259508169,0.254311179
1,30,1,3,GrowthYield,NoAntimicrbial,NA,2,0.26805375,0.571181859,0.576231968
1,30,1,3,DoublingTime,CAM,0.5,1,0.108504313,0.132963412,0.13475481
1,30,1,3,GrowthYield,CAM,0.5,1,0.383261947,0.210245839,0.206382862
1,30,1,3,DoublingTime,CAM,1,2,0.003122775,0.132832371,0.129299497
1,30,1,3,GrowthYield,CAM,1,2,0.386639195,0.299789608,0.310849833
1,30,1,3,DoublingTime,CAM,2,3,0.264806796,0.203777129,0.2021018
1,30,1,3,GrowthYield,CAM,2,3,0.488922819,0.547202372,0.552008295
1,30,1,3,DoublingTime,CIP,0.002,1,0.20088716,0.119008384,0.122012075
1,30,1,3,GrowthYield,CIP,0.002,1,0.089026082,0.222406414,0.244588628
1,30,1,3,DoublingTime,CIP,0.004,2,0.251361616,0.162399527,0.162677493
1,30,1,3,GrowthYield,CIP,0.004,2,0.217254192,0.505663456,0.530428793
1,30,1,3,DoublingTime,CIP,0.008,3,0.174600741,0.116042664,0.126342324
1,30,1,3,GrowthYield,CIP,0.008,3,0.485697621,0.830544495,0.797129036
1,30,1,3,DoublingTime,CTX,0.5,1,0.311357109,0.132951388,0.157953213
1,30,1,3,GrowthYield,CTX,0.5,1,0.648164505,1.21264922,1.276351134
1,30,1,3,DoublingTime,CTX,1,2,0.349030543,0.119177006,0.143156711
1,30,1,3,GrowthYield,CTX,1,2,0.666164728,1.313686616,1.401337988
1,30,1,3,DoublingTime,CTX,2,3,0.438870028,0.147568525,0.174497449
1,30,1,3,GrowthYield,CTX,2,3,0.666722818,1.439139606,1.533520747
1,30,1,3,DoublingTime,KAN,4,1,0.077525613,0.105943918,0.110537217
1,30,1,3,GrowthYield,KAN,4,1,0.20251243,0.406043488,0.455900297
1,30,1,3,DoublingTime,KAN,8,2,0.372187259,0.155075557,0.156856907
1,30,1,3,GrowthYield,KAN,8,2,0.452692709,0.788781487,0.843207159
1,30,1,3,DoublingTime,KAN,16,3,0.482256832,0.250694263,0.255213306
1,30,1,3,GrowthYield,KAN,16,3,0.435384984,1.237323334,1.25966703
1,30,1,3,DoublingTime,TET,0.3,1,0.370808578,0.155125694,0.167104775
1,30,1,3,GrowthYield,TET,0.3,1,0.504150961,0.339025311,0.355537398
1,30,1,3,DoublingTime,TET,0.6,2,0.356964348,0.232536931,0.220689352
1,30,1,3,GrowthYield,TET,0.6,2,0.58087086,0.739256974,0.72984794
1,30,1,3,DoublingTime,TET,1.25,3,0.674609881,0.311055049,0.298895472
1,30,1,3,GrowthYield,TET,1.25,3,0.660628792,1.136946802,1.132890782
1,30,1,3,DoublingTime,TRIM,0.125,1,0.397505158,0.156935747,0.165749213
1,30,1,3,GrowthYield,TRIM,0.125,1,0.528918853,0.634566623,0.671579224
1,30,1,3,DoublingTime,TRIM,0.25,2,0.489135028,0.15721564,0.155888565
1,30,1,3,GrowthYield,TRIM,0.25,2,0.495557694,0.839204044,0.953795774
1,30,1,3,DoublingTime,TRIM,0.5,3,0.37953389,0.164042367,0.177083549
1,30,1,3,GrowthYield,TRIM,0.5,3,0.601250325,1.117316473,1.198031432
1,30,1,4,DoublingTime,NoAntimicrbial,NA,2,0.35500509,0.256160299,0.265627804
1,30,1,4,GrowthYield,NoAntimicrbial,NA,2,0.324362574,0.573277744,0.582470193
1,30,1,4,DoublingTime,CAM,0.5,1,0.152681838,0.130580885,0.141971778
1,30,1,4,GrowthYield,CAM,0.5,1,0.351686508,0.198409401,0.2360033
1,30,1,4,DoublingTime,CAM,1,2,0.137653221,0.129879132,0.138496448
