alpha,CrossValidations,Measurement,Drug,Concentration_Original,Concetration,Training Spearman,Validation Spearman,Training MAE,Validation MAE
10,1,DoublingTime,CIP,0.002,1,NA,NA,0.125254256,0.123438158
10,1,GrowthYield,CIP,0.002,1,NA,NA,0.240982231,0.220801348
10,1,DoublingTime,CIP,0.004,2,NA,NA,0.172664259,0.179673303
10,1,GrowthYield,CIP,0.004,2,NA,NA,0.550219633,0.546219831
10,1,DoublingTime,CIP,0.008,3,NA,NA,0.123625856,0.117138901
10,1,GrowthYield,CIP,0.008,3,NA,NA,0.973091282,1.004693091
10,1,DoublingTime,CTX,0.5,1,NA,NA,0.151010064,0.151839767
10,1,GrowthYield,CTX,0.5,1,NA,NA,2.052130304,2.123560044
10,1,DoublingTime,CTX,1,2,NA,NA,0.135730884,0.134415332
10,1,GrowthYield,CTX,1,2,NA,NA,2.274706281,2.364652524
10,1,DoublingTime,CTX,2,3,NA,NA,0.187029732,0.186308248
10,1,GrowthYield,CTX,2,3,NA,NA,2.54688459,2.697501162
10,1,DoublingTime,KAN,4,1,NA,NA,0.111028365,0.107904889
10,1,GrowthYield,KAN,4,1,NA,NA,0.455629613,0.453660909
10,1,DoublingTime,KAN,8,2,NA,NA,0.179725403,0.165275439
10,1,GrowthYield,KAN,8,2,NA,NA,0.974261098,0.954262701
10,1,DoublingTime,KAN,16,3,NA,NA,0.310985916,0.275179457
10,1,GrowthYield,KAN,16,3,NA,NA,1.534872794,1.610052982
10,1,DoublingTime,TET,0.3,1,NA,NA,0.178542382,0.162630637
10,1,GrowthYield,TET,0.3,1,NA,NA,0.413333064,0.384730085
10,1,DoublingTime,TET,0.6,2,NA,NA,0.242945577,0.238561248
10,1,GrowthYield,TET,0.6,2,NA,NA,0.985718673,0.949635106
10,1,DoublingTime,TET,1.25,3,NA,NA,0.425766743,0.385274203
10,1,GrowthYield,TET,1.25,3,NA,NA,1.674870148,1.612300202
10,1,DoublingTime,TRIM,0.125,1,NA,NA,0.172241492,0.173873222
10,1,GrowthYield,TRIM,0.125,1,NA,NA,0.766153547,0.791234801
10,1,DoublingTime,TRIM,0.25,2,NA,NA,0.175003215,0.179658293
10,1,GrowthYield,TRIM,0.25,2,NA,NA,1.068456852,1.060407922
10,1,DoublingTime,TRIM,0.5,3,NA,NA,0.176456167,0.176542545
10,1,GrowthYield,TRIM,0.5,3,NA,NA,1.514074421,1.560024178
10,2,DoublingTime,NoAntimicrbial,NA,2,NA,NA,0.289561874,0.304487434
10,2,GrowthYield,NoAntimicrbial,NA,2,NA,NA,0.624446602,0.673687097
10,2,DoublingTime,CAM,0.5,1,NA,NA,0.137932994,0.134919756
10,2,GrowthYield,CAM,0.5,1,NA,NA,0.226144818,0.219461225
10,2,DoublingTime,CAM,1,2,NA,NA,0.137295181,0.128830215
10,2,GrowthYield,CAM,1,2,NA,NA,0.328538102,0.34623616
10,2,DoublingTime,CAM,2,3,NA,NA,0.213280011,0.222109219
10,2,GrowthYield,CAM,2,3,NA,NA,0.624210713,0.663869853
10,2,DoublingTime,CIP,0.002,1,NA,NA,0.12332116,0.127602786
10,2,GrowthYield,CIP,0.002,1,NA,NA,0.234591614,0.239749289
10,2,DoublingTime,CIP,0.004,2,NA,NA,0.174246764,0.174912158
10,2,GrowthYield,CIP,0.004,2,NA,NA,0.55647972,0.530180967
10,2,DoublingTime,CIP,0.008,3,NA,NA,0.122729622,0.119708355
10,2,GrowthYield,CIP,0.008,3,NA,NA,0.983810997,0.979157791
10,2,DoublingTime,CTX,0.5,1,NA,NA,0.155215772,0.138880342
10,2,GrowthYield,CTX,0.5,1,NA,NA,2.069676663,2.063493644
10,2,DoublingTime,CTX,1,2,NA,NA,0.139005544,0.124880346
10,2,GrowthYield,CTX,1,2,NA,NA,2.303395146,2.263593351
10,2,DoublingTime,CTX,2,3,NA,NA,0.189965555,0.177707886
10,2,GrowthYield,CTX,2,3,NA,NA,2.59157967,2.54194101
10,2,DoublingTime,KAN,4,1,NA,NA,0.110640504,0.109078723
10,2,GrowthYield,KAN,4,1,NA,NA,0.452565769,0.457011394
10,2,DoublingTime,KAN,8,2,NA,NA,0.172355458,0.186523105
10,2,GrowthYield,KAN,8,2,NA,NA,0.952203802,1.015314647
10,2,DoublingTime,KAN,16,3,NA,NA,0.293509888,0.325096491
10,2,GrowthYield,KAN,16,3,NA,NA,1.523708751,1.638696426
10,2,DoublingTime,TET,0.3,1,NA,NA,0.172781775,0.178520165
10,2,GrowthYield,TET,0.3,1,NA,NA,0.402781612,0.415985569
10,2,DoublingTime,TET,0.6,2,NA,NA,0.238542362,0.251773842
10,2,GrowthYield,TET,0.6,2,NA,NA,0.96516871,1.010622864
10,2,DoublingTime,TET,1.25,3,NA,NA,0.406489862,0.442285202
10,2,GrowthYield,TET,1.25,3,NA,NA,1.647611991,1.701365086
10,2,DoublingTime,TRIM,0.125,1,NA,NA,0.172693409,0.172661478
10,2,GrowthYield,TRIM,0.125,1,NA,NA,0.765067724,0.794525612
10,2,DoublingTime,TRIM,0.25,2,NA,NA,0.177305359,0.172732486
10,2,GrowthYield,TRIM,0.25,2,NA,NA,1.068087986,1.061414297
10,2,DoublingTime,TRIM,0.5,3,NA,NA,0.176813229,0.177866873
10,2,GrowthYield,TRIM,0.5,3,NA,NA,1.513090051,1.561189467
10,3,DoublingTime,NoAntimicrbial,NA,2,NA,NA,0.299541591,0.279228302
10,3,GrowthYield,NoAntimicrbial,NA,2,NA,NA,0.639396369,0.628034506
10,3,DoublingTime,CAM,0.5,1,NA,NA,0.13763892,0.135029217
10,3,GrowthYield,CAM,0.5,1,NA,NA,0.22738434,0.214876193
10,3,DoublingTime,CAM,1,2,NA,NA,0.137516282,0.128951248
10,3,GrowthYield,CAM,1,2,NA,NA,0.332353465,0.338297706
10,3,DoublingTime,CAM,2,3,NA,NA,0.217402747,0.210339694
10,3,GrowthYield,CAM,2,3,NA,NA,0.635194983,0.635307198
10,3,DoublingTime,CIP,0.002,1,NA,NA,0.125167466,0.123639769
10,3,GrowthYield,CIP,0.002,1,NA,NA,0.232488563,0.24602162
10,3,DoublingTime,CIP,0.004,2,NA,NA,0.176369372,0.168535761
10,3,GrowthYield,CIP,0.004,2,NA,NA,0.553217709,0.542045559
10,3,DoublingTime,CIP,0.008,3,NA,NA,0.120551354,0.127404075
10,3,GrowthYield,CIP,0.008,3,NA,NA,1.006572831,0.916204717
10,3,DoublingTime,CTX,0.5,1,NA,NA,0.146225921,0.166100054
10,3,GrowthYield,CTX,0.5,1,NA,NA,2.073518285,2.074003322
10,3,DoublingTime,CTX,1,2,NA,NA,0.130324446,0.150787737
10,3,GrowthYield,CTX,1,2,NA,NA,2.301719906,2.295568
10,3,DoublingTime,CTX,2,3,NA,NA,0.182387611,0.20041541
10,3,GrowthYield,CTX,2,3,NA,NA,2.592236863,2.578356172
10,3,DoublingTime,KAN,4,1,NA,NA,0.110247464,0.111111009
10,3,GrowthYield,KAN,4,1,NA,NA,0.449360301,0.470059912
10,3,DoublingTime,KAN,8,2,NA,NA,0.176944126,0.169270367
10,3,GrowthYield,KAN,8,2,NA,NA,0.969749996,0.963324423
10,3,DoublingTime,KAN,16,3,NA,NA,0.302532797,0.297139593
10,3,GrowthYield,KAN,16,3,NA,NA,1.570729983,1.497032375
10,3,DoublingTime,TET,0.3,1,NA,NA,0.171495039,0.181826319
10,3,GrowthYield,TET,0.3,1,NA,NA,0.402675224,0.420847035
10,3,DoublingTime,TET,0.6,2,NA,NA,0.246244664,0.229733393
10,3,GrowthYield,TET,0.6,2,NA,NA,0.972078123,0.991225966
10,3,DoublingTime,TET,1.25,3,NA,NA,0.418229433,0.40810362
10,3,GrowthYield,TET,1.25,3,NA,NA,1.645327993,1.701710057
10,3,DoublingTime,TRIM,0.125,1,NA,NA,0.171787844,0.175557776
10,3,GrowthYield,TRIM,0.125,1,NA,NA,0.769922921,0.785258372
10,3,DoublingTime,TRIM,0.25,2,NA,NA,0.177320174,0.172994914
10,3,GrowthYield,TRIM,0.25,2,NA,NA,1.045503655,1.136186782
10,3,DoublingTime,TRIM,0.5,3,NA,NA,0.174616289,0.185643601
10,3,GrowthYield,TRIM,0.5,3,NA,NA,1.514358581,1.556574738
10,4,DoublingTime,NoAntimicrbial,NA,2,NA,NA,0.293259377,0.290914402
10,4,GrowthYield,NoAntimicrbial,NA,2,NA,NA,0.641964355,0.621601529
10,4,DoublingTime,CAM,0.5,1,NA,NA,0.13494724,0.142851873
10,4,GrowthYield,CAM,0.5,1,NA,NA,0.216519471,0.248466009
10,4,DoublingTime,CAM,1,2,NA,NA,0.133793667,0.139789381
10,4,GrowthYield,CAM,1,2,NA,NA,0.338310918,0.320532139
10,4,DoublingTime,CAM,2,3,NA,NA,0.215202143,0.217028459
10,4,GrowthYield,CAM,2,3,NA,NA,0.646674123,0.597411934
10,4,DoublingTime,CIP,0.002,1,NA,NA,0.124724903,0.124018672
10,4,GrowthYield,CIP,0.002,1,NA,NA,0.235643453,0.237042663
10,4,DoublingTime,CIP,0.004,2,NA,NA,0.174389412,0.174489771
10,4,GrowthYield,CIP,0.004,2,NA,NA,0.538163199,0.580194885
10,4,DoublingTime,CIP,0.008,3,NA,NA,0.12116294,0.124974533
10,4,GrowthYield,CIP,0.008,3,NA,NA,0.961081798,1.024624803
10,4,DoublingTime,CTX,0.5,1,NA,NA,0.152514283,0.148423864
10,4,GrowthYield,CTX,0.5,1,NA,NA,2.091108403,2.027996514
10,4,DoublingTime,CTX,1,2,NA,NA,0.136400135,0.132538666
10,4,GrowthYield,CTX,1,2,NA,NA,2.309393564,2.267311842
10,4,DoublingTime,CTX,2,3,NA,NA,0.187993498,0.183690256
10,4,GrowthYield,CTX,2,3,NA,NA,2.608080718,2.523486627
10,4,DoublingTime,KAN,4,1,NA,NA,0.108981219,0.114039409
10,4,GrowthYield,KAN,4,1,NA,NA,0.459889443,0.436088976
10,4,DoublingTime,KAN,8,2,NA,NA,0.173090424,0.181878791
10,4,GrowthYield,KAN,8,2,NA,NA,0.976903811,0.940051434
10,4,DoublingTime,KAN,16,3,NA,NA,0.298670553,0.308552826
10,4,GrowthYield,KAN,16,3,NA,NA,1.581711461,1.469632336
10,4,DoublingTime,TET,0.3,1,NA,NA,0.174326291,0.174472823
10,4,GrowthYield,TET,0.3,1,NA,NA,0.407307867,0.404360542
10,4,DoublingTime,TET,0.6,2,NA,NA,0.240619055,0.249364605
10,4,GrowthYield,TET,0.6,2,NA,NA,0.983838023,0.955170508
10,4,DoublingTime,TET,1.25,3,NA,NA,0.412010964,0.426522671
10,4,GrowthYield,TET,1.25,3,NA,NA,1.671501829,1.624873162
10,4,DoublingTime,TRIM,0.125,1,NA,NA,0.173964537,0.168792162
10,4,GrowthYield,TRIM,0.125,1,NA,NA,0.791254946,0.724256954
10,4,DoublingTime,TRIM,0.25,2,NA,NA,0.174975061,0.179884411
10,4,GrowthYield,TRIM,0.25,2,NA,NA,1.085476324,1.013298285
10,4,DoublingTime,TRIM,0.5,3,NA,NA,0.179670413,0.168929498
10,4,GrowthYield,TRIM,0.5,3,NA,NA,1.558772602,1.425374362
