alpha,CrossValidations,Measurement,Drug,Concentration_Original,Concetration,Training Spearman,Validation Spearman,Training MAE,Validation MAE
0.0001,1,GrowthYield,TET,0.6,2,0.999861792,0.379233415,0.013090952,1.035651707
0.0001,1,DoublingTime,TET,1.25,3,0.999478094,0.496703047,0.012350474,0.375394921
0.0001,1,GrowthYield,TET,1.25,3,0.999928161,0.473498902,0.013694244,1.530378143
0.0001,1,DoublingTime,TRIM,0.125,1,0.997352384,0.247732804,0.012056025,0.208802668
0.0001,1,GrowthYield,TRIM,0.125,1,0.999772132,0.496835012,0.012493576,0.746952277
0.0001,1,DoublingTime,TRIM,0.25,2,0.997394349,0.323504851,0.011766033,0.202038709
0.0001,1,GrowthYield,TRIM,0.25,2,0.999890949,0.448171965,0.012288116,1.003900527
0.0001,1,DoublingTime,TRIM,0.5,3,0.997376091,0.170087832,0.012260176,0.223591555
0.0001,1,GrowthYield,TRIM,0.5,3,0.999934665,0.561810836,0.012519655,1.294182042
0.0001,2,DoublingTime,NoAntimicrbial,NA,2,0.998872635,0.319856346,0.0125345,0.336385196
0.0001,2,GrowthYield,NoAntimicrbial,NA,2,0.999662162,0.311180146,0.013131312,0.748363002
0.0001,2,DoublingTime,CAM,0.5,1,0.995076854,0.108251567,0.012471707,0.185902504
0.0001,2,GrowthYield,CAM,0.5,1,0.998130952,0.093454296,0.012580381,0.303577238
0.0001,2,DoublingTime,CAM,1,2,0.995912049,0.044269542,0.012444513,0.185069123
0.0001,2,GrowthYield,CAM,1,2,0.999109936,0.292878469,0.012536072,0.394668457
0.0001,2,DoublingTime,CAM,2,3,0.998042031,0.159686974,0.012481782,0.275490163
0.0001,2,GrowthYield,CAM,2,3,0.999688668,0.386402596,0.012711138,0.691389852
0.0001,2,DoublingTime,CIP,0.002,1,0.994711132,0.174185121,0.012032169,0.157298876
0.0001,2,GrowthYield,CIP,0.002,1,0.998198635,0.1884109,0.012475558,0.287539275
0.0001,2,DoublingTime,CIP,0.004,2,0.997944129,0.201310687,0.011898827,0.220469944
0.0001,2,GrowthYield,CIP,0.004,2,0.999614039,0.288487928,0.012385676,0.593609968
0.0001,2,DoublingTime,CIP,0.008,3,0.994911009,0.096285004,0.012274111,0.154113606
0.0001,2,GrowthYield,CIP,0.008,3,0.999829584,0.502610378,0.01295686,0.954621285
0.0001,2,DoublingTime,CTX,0.5,1,0.996852531,0.236919815,0.011772678,0.173343915
0.0001,2,GrowthYield,CTX,0.5,1,0.999893994,0.595455456,0.012850771,1.509988815
0.0001,2,DoublingTime,CTX,1,2,0.995452656,0.19010879,0.012091909,0.156702108
0.0001,2,GrowthYield,CTX,1,2,0.999909562,0.592033992,0.012634339,1.635827953
0.0001,2,DoublingTime,CTX,2,3,0.99774018,0.448129686,0.01205703,0.172972623
0.0001,2,GrowthYield,CTX,2,3,0.999922516,0.607275936,0.013065957,1.751381686
0.0001,2,DoublingTime,KAN,4,1,0.993751429,0.112237032,0.012343374,0.147274801
0.0001,2,GrowthYield,KAN,4,1,0.999458593,0.329411189,0.012796481,0.517683131
0.0001,2,DoublingTime,KAN,8,2,0.996687764,0.297335897,0.012423655,0.203498369
0.0001,2,GrowthYield,KAN,8,2,0.999877647,0.588554201,0.01264951,0.866566561
0.0001,2,DoublingTime,KAN,16,3,0.998844911,0.512745276,0.0125203,0.298268385
0.0001,2,GrowthYield,KAN,16,3,0.999948524,0.517296883,0.012710459,1.462870847
0.0001,2,DoublingTime,TET,0.3,1,0.997028137,0.299651834,0.012571808,0.212310448
0.0001,2,GrowthYield,TET,0.3,1,0.999341988,0.425220216,0.012754677,0.434469231
0.0001,2,DoublingTime,TET,0.6,2,0.99864695,0.210909944,0.012376333,0.293107567
0.0001,2,GrowthYield,TET,0.6,2,0.999865412,0.491165008,0.012453509,0.967623837
0.0001,2,DoublingTime,TET,1.25,3,0.999387217,0.505859539,0.012316627,0.39475324
0.0001,2,GrowthYield,TET,1.25,3,0.999934911,0.529478023,0.01301265,1.409535056
0.0001,2,DoublingTime,TRIM,0.125,1,0.997030492,0.23772943,0.012304699,0.211198752
0.0001,2,GrowthYield,TRIM,0.125,1,0.999796551,0.475681196,0.012454686,0.75661939
0.0001,2,DoublingTime,TRIM,0.25,2,0.997424238,0.325794411,0.011921978,0.204648348
0.0001,2,GrowthYield,TRIM,0.25,2,0.999874473,0.43203746,0.012676225,1.015911355
0.0001,2,DoublingTime,TRIM,0.5,3,0.997421783,0.148141539,0.011952514,0.232239993
0.0001,2,GrowthYield,TRIM,0.5,3,0.999936528,0.553769671,0.012508693,1.299999613
0.0001,3,DoublingTime,NoAntimicrbial,NA,2,0.998976316,0.266522082,0.011986468,0.324517663
0.0001,3,GrowthYield,NoAntimicrbial,NA,2,0.999682195,0.252697704,0.012576915,0.731481478
0.0001,3,DoublingTime,CAM,0.5,1,0.996014474,0.097519714,0.012231116,0.180851509
0.0001,3,GrowthYield,CAM,0.5,1,0.998371513,0.1845888,0.011768074,0.292686929
0.0001,3,DoublingTime,CAM,1,2,0.996234804,0.125739597,0.012078053,0.169657213
