max_depth,n_estimators,subsample,CrossValidations,Measurement,Drug,Concentration_Original,Concetration,Training Spearman,Validation Spearman,Training MAE,Validation MAE
1,30,0.8,4,GrowthYield,CIP,0.002,1,0.248454542,0.094765056,0.230089534,0.235072443
1,30,0.8,4,DoublingTime,CIP,0.004,2,0.257716125,0.15482375,0.168589063,0.1719083
1,30,0.8,4,GrowthYield,CIP,0.004,2,0.330986471,0.27497816,0.503156756,0.550801667
1,30,0.8,4,DoublingTime,CIP,0.008,3,0.214971697,0.085032312,0.117920667,0.123960785
1,30,0.8,4,GrowthYield,CIP,0.008,3,0.596271238,0.484594852,0.784902739,0.884085385
1,30,0.8,4,DoublingTime,CTX,0.5,1,0.396036724,0.365972011,0.140573305,0.137668572
1,30,0.8,4,GrowthYield,CTX,0.5,1,0.767372129,0.720901444,1.056966144,1.115207455
1,30,0.8,4,DoublingTime,CTX,1,2,0.388257477,0.393385129,0.124741616,0.120625482
1,30,0.8,4,GrowthYield,CTX,1,2,0.758074858,0.72907039,1.123093646,1.174487713
1,30,0.8,4,DoublingTime,CTX,2,3,0.571584325,0.585093865,0.15016294,0.145775156
1,30,0.8,4,GrowthYield,CTX,2,3,0.761452221,0.745328026,1.214986792,1.223165029
1,30,0.8,4,DoublingTime,KAN,4,1,0.163291122,0.057418257,0.107292266,0.113321953
1,30,0.8,4,GrowthYield,KAN,4,1,0.386638204,0.243790318,0.423363432,0.42301145
1,30,0.8,4,DoublingTime,KAN,8,2,0.465022609,0.358197835,0.152578191,0.163391959
1,30,0.8,4,GrowthYield,KAN,8,2,0.552766378,0.473109279,0.809186377,0.8106727
1,30,0.8,4,DoublingTime,KAN,16,3,0.595529339,0.476719441,0.248615677,0.265056696
1,30,0.8,4,GrowthYield,KAN,16,3,0.558477146,0.495562849,1.255889568,1.201005287
1,30,0.8,4,DoublingTime,TET,0.3,1,0.450101625,0.367284206,0.155003162,0.16125223
1,30,0.8,4,GrowthYield,TET,0.3,1,0.532156776,0.549833594,0.344221026,0.338390979
1,30,0.8,4,DoublingTime,TET,0.6,2,0.389674361,0.372172911,0.22778308,0.236500579
1,30,0.8,4,GrowthYield,TET,0.6,2,0.611732539,0.625619077,0.733236997,0.719314066
1,30,0.8,4,DoublingTime,TET,1.25,3,0.671892085,0.639941532,0.304791532,0.319458592
1,30,0.8,4,GrowthYield,TET,1.25,3,0.636471249,0.657774597,1.160304641,1.114597566
1,30,0.8,4,DoublingTime,TRIM,0.125,1,0.388891466,0.213766376,0.159195254,0.167067985
1,30,0.8,4,GrowthYield,TRIM,0.125,1,0.547384803,0.49116906,0.640303882,0.623997315
1,30,0.8,4,DoublingTime,TRIM,0.25,2,0.492644347,0.383444844,0.15304069,0.165885797
1,30,0.8,4,GrowthYield,TRIM,0.25,2,0.547913371,0.505893947,0.857121522,0.828258568
1,30,0.8,4,DoublingTime,TRIM,0.5,3,0.358702719,0.230206775,0.170285667,0.163473987
1,30,0.8,4,GrowthYield,TRIM,0.5,3,0.607820727,0.550852842,1.143255551,1.04669049
1,30,1,1,DoublingTime,NoAntimicrbial,NA,2,0.311373471,0.383224772,0.274906305,0.279110795
1,30,1,1,GrowthYield,NoAntimicrbial,NA,2,0.297354539,0.283512286,0.611119869,0.594944797
1,30,1,1,DoublingTime,CAM,0.5,1,0.188073643,0.093152462,0.134627295,0.13563396
1,30,1,1,GrowthYield,CAM,0.5,1,0.386928134,0.359034226,0.211010173,0.203752115
1,30,1,1,DoublingTime,CAM,1,2,0.181214817,0.226887268,0.129397458,0.140953127
1,30,1,1,GrowthYield,CAM,1,2,0.387509876,0.350459661,0.30601272,0.308909167
1,30,1,1,DoublingTime,CAM,2,3,0.299543986,0.31042926,0.206704823,0.199394445
1,30,1,1,GrowthYield,CAM,2,3,0.480314838,0.442826601,0.560924192,0.57198878
1,30,1,1,DoublingTime,CIP,0.002,1,0.275354511,0.154424508,0.120860446,0.122715774
